No.,Nama_Produk,Kategori,Ukuran_per_Sajian,Satuan,Gula_per_sajian (g),Garam_per_sajian (mg),Gambar_Normal,Gambar_Rotate 90°
33,Nestle Cerelack (sachet),Snack Manis,20,Gram,3,50,cellmage_312819832_64.jpg,cellmage_312819832_65.jpg
34,Ultra Sari Kacang Ijo,Minuman Kemasan,200,mL,20,60,cellmage_312819832_66.jpg,cellmage_312819832_67.jpg
35,Milku Marie Biskuit,Minuman Kemasan,200,mL,21,130,cellmage_312819832_68.jpg,cellmage_312819832_69.jpg
36,Isoplus Coco,Minuman Kemasan,175,mL,12,85,cellmage_312819832_70.jpg,cellmage_312819832_71.jpg
37,Floridina Orange,Minuman Kemasan,175,mL,21,25,cellmage_312819832_72.jpg,cellmage_312819832_73.jpg
38,Coca Cola,Minuman Kemasan,250,mL,27,15,cellmage_312819832_74.jpg,cellmage_312819832_75.jpg
39,Fanta,Minuman Kemasan,250,mL,12,10,cellmage_312819832_76.jpg,cellmage_312819832_77.jpg
40,Mizone,Minuman Kemasan,250,mL,8,65,cellmage_312819832_78.jpg,cellmage_312819832_79.jpg
41,YouC1000 Orange,Minuman Kemasan,140,mL,13,60,cellmage_312819832_80.jpg,cellmage_312819832_81.jpg
42,Teh Pucuk Harum,Minuman Kemasan,240,mL,18,10,cellmage_312819832_82.jpg,cellmage_312819832_83.jpg
43,Adem Sari Cingku,Minuman Kemasan,250,mL,18,130,cellmage_312819832_84.jpg,cellmage_312819832_85.jpg
44,Fruit Tea Blackcurrant,Minuman Kemasan,250,mL,15,60,cellmage_312819832_86.jpg,cellmage_312819832_87.jpg
45,Nipis Madu,Minuman Kemasan,240,mL,22,60,cellmage_312819832_88.jpg,cellmage_312819832_89.jpg
46,Biokul Leci,Snack Manis,80,Gram,10,35,cellmage_312819832_90.jpg,cellmage_312819832_91.jpg
47,Silverqueen Almond,Snack Manis,20,Gram,7,10,cellmage_312819832_92.jpg,cellmage_312819832_93.jpg
48,Hello Panda Strawberry,Snack Manis,8,Gram,2,25,cellmage_312819832_94.jpg,cellmage_312819832_95.jpg
49,Taro Barbeque,Snack Asin,8,Gram,0,90,cellmage_312819832_96.jpg,cellmage_312819832_97.jpg
50,Pillows Ubi ,Snack Manis,12,Gram,3,30,cellmage_312819832_98.jpg,cellmage_312819832_99.jpg
51,Choki Stix,Snack Manis,21.5,Gram,6,65,cellmage_312819832_100.jpg,cellmage_312819832_101.jpg
52,Garuda Rosta Kacang Panggang Rasa Bawang,Snack Asin,11,Gram,1,60,cellmage_312819832_102.jpg,cellmage_312819832_103.jpg
53,Teh Kotak,Minuman Kemasan,200,mL,16,10,cellmage_312819832_104.jpg,cellmage_312819832_105.jpg
54,Cimory UHT Marie Biscuit,Minuman Kemasan,125,mL,13,65,cellmage_312819832_106.jpg,cellmage_312819832_107.jpg
55,Ultra Milk Strawberry,Minuman Kemasan,200,mL,19,50,cellmage_312819832_108.jpg,cellmage_312819832_109.jpg
56,Cimory Yoghurt Blueberry,Minuman Kemasan,200,mL,25,120,cellmage_312819832_110.jpg,cellmage_312819832_111.jpg
57,Cimory Yoghurt Mixed Fruit,Minuman Kemasan,200,mL,25,120,cellmage_312819832_112.jpg,cellmage_312819832_113.jpg
58,Cimory Yoghurt Strawberry,Minuman Kemasan,200,mL,25,120,cellmage_312819832_114.jpg,cellmage_312819832_115.jpg
59,Tricks Potato Baked Chips Original,Snack Asin,12,Gram,2,85,cellmage_312819832_116.jpg,cellmage_312819832_117.jpg
60,Pop Mie Rasa Bakso,Mie Instan,75,Gram,4,1170,cellmage_312819832_118.jpg,cellmage_312819832_119.jpg
61,Ale-Ale Mangga,Minuman Kemasan,160,mL,16,55,cellmage_312819832_120.jpg,cellmage_312819832_121.jpg
62,Milku Original,Minuman Kemasan,200,mL,9,130,cellmage_312819832_122.jpg,cellmage_312819832_123.jpg
63,Qtela Singkong Barbeque,Snack Asin,20,Gram,1,95,cellmage_312819832_124.jpg,cellmage_312819832_125.jpg
64,Nabati Wafer Keju,Snack Manis,15,Gram,5,65,cellmage_312819832_126.jpg,cellmage_312819832_127.jpg
65,Go Potato,Snack Asin,8,Gram,1,45,cellmage_312819832_128.jpg,cellmage_312819832_129.jpg
66,Hello Panda Milk Cream,Snack Manis,8,Gram,2,20,cellmage_312819832_130.jpg,cellmage_312819832_131.jpg
67,Mie Gelas Ayam Bawang,Mie Instan,26,Gram,0,1000,cellmage_312819832_132.jpg,cellmage_312819832_133.jpg
68,Pilus Garuda Rasa Abon,Snack Asin,7,Gram,0,65,cellmage_312819832_134.jpg,cellmage_312819832_135.jpg
69,Good Day Mocacino,Minuman Seduh,20,Gram,13,10,cellmage_312819832_136.jpg,cellmage_312819832_137.jpg
70,MaxTea Teh Tarik,Minuman Seduh,25,Gram,14,15,cellmage_312819832_138.jpg,cellmage_312819832_139.jpg
71,Oishi Rasa Udang Pedas,Snack Asin,10,Gram,1,115,cellmage_312819832_140.jpg,cellmage_312819832_141.jpg
72,Oishi Caramel Popcorn,Snack Manis,20,Gram,10,100,cellmage_312819832_142.jpg,cellmage_312819832_143.jpg
73,Garuda Kacang Atom,Snack Asin,17,Gram,2,150,cellmage_312819832_144.jpg,cellmage_312819832_145.jpg
74,Milku Strawberry,Minuman Kemasan,200,mL,22,130,cellmage_312819832_146.jpg,cellmage_312819832_147.jpg
75,Teh Gelas (cup),Minuman Kemasan,170,mL,6,15,cellmage_312819832_148.jpg,cellmage_312819832_149.jpg
76,Gery saluut Malkist Matcha,Snack Manis,15,Gram,3,65,cellmage_312819832_150.jpg,cellmage_312819832_151.jpg
77,Power F Anggur Madu,Minuman Kemasan,175,mL,13,65,cellmage_312819832_152.jpg,cellmage_312819832_153.jpg
78,Kopi Nongkrong,Minuman Kemasan,160,mL,6,40,cellmage_312819832_154.jpg,cellmage_312819832_155.jpg
79,Nabati Wafer Cokelat (kaleng),Snack Manis,15,Gram,5,25,cellmage_312819832_156.jpg,cellmage_312819832_157.jpg
80,Denex Biscuits Assorted (kaleng),Snack Manis,25,Gram,5,100,cellmage_312819832_158.jpg,cellmage_312819832_159.jpg
81,Sakatonik Activ Gummy,Snack Manis,8,Gram,4,10,cellmage_312819832_160.jpg,cellmage_312819832_161.jpg
82,KitKat Choco,Snack Manis,17,Gram,7,10,cellmage_312819832_162.jpg,cellmage_312819832_163.jpg
83,Fitbar Multigrain Tiramisu Delight,Snack Manis,20,Gram,5,30,cellmage_312819832_164.jpg,cellmage_312819832_165.jpg
84,Kawan Paratha Plain,Snack Asin,80,Gram,3,340,cellmage_312819832_166.jpg,cellmage_312819832_167.jpg
85,Ice Cream Wall's Extra Creamy Choco Vanilla Chip,Snack Manis,100,mL,10,0,cellmage_312819832_168.jpg,cellmage_312819832_169.jpg
86,Ice Cream Wall's Oreo Cookies & Cream,Snack Manis,100,mL,11,60,cellmage_312819832_170.jpg,cellmage_312819832_171.jpg
87,Cornetto Mini Oreo Rasa Vanila,Snack Manis,28,mL,14,40,cellmage_312819832_172.jpg,cellmage_312819832_173.jpg
88,Cornetto Mini Oreo Rasa Cokelat,Snack Manis,28,mL,11,35,cellmage_312819832_174.jpg,cellmage_312819832_175.jpg
89,Ice Cream Diamond Vanilla with Chocolate Chip,Snack Manis,100,mL,7,20,cellmage_312819832_176.jpg,cellmage_312819832_177.jpg
90,Fish and Chips BumiFood,Snack Asin,100,Gram,0,480,cellmage_312819832_178.jpg,cellmage_312819832_179.jpg
91,Ekado Furaseafood,Snack Asin,50,Gram,1,680,cellmage_312819832_180.jpg,cellmage_312819832_181.jpg
92,Fish Dumpling,Snack Asin,50,Gram,0,430,cellmage_312819832_182.jpg,cellmage_312819832_183.jpg
93,Fiesta Seafood,Snack Asin,90,Gram,0,640,cellmage_312819832_184.jpg,cellmage_312819832_185.jpg
94,Garuda Rosta Kacang Panggang Pedas,Snack Asin,25,Gram,5,130,cellmage_312819832_186.jpg,cellmage_312819832_187.jpg
95,Mayasi Roasted Corn,Snack Asin,25,Gram,2,80,cellmage_312819832_188.jpg,cellmage_312819832_189.jpg
96,TicTac Seaweed,Snack Asin,20,Gram,1,210,cellmage_312819832_190.jpg,cellmage_312819832_191.jpg
97,Oishi Popcorn Belgian Butter With Cheese,Snack Manis,20,Gram,8,140,cellmage_312819832_192.jpg,cellmage_312819832_193.jpg
98,Kacang PolongMas Dua Kelinci,Snack Asin,25,Gram,1,130,cellmage_312819832_194.jpg,cellmage_312819832_195.jpg
99,Sukro Original,Snack Asin,25,Gram,0,170,cellmage_312819832_196.jpg,cellmage_312819832_197.jpg
100,ChompChomp Marshmallow Plain,Snack Manis,15,Gram,8,5,cellmage_312819832_198.jpg,cellmage_312819832_199.jpg
101,Nu Teh Tarik,Minuman Kemasan,200,mL,14,130,cellmage_312819832_200.jpg,cellmage_312819832_201.jpg
102,Nu Choco HazelTea (kotak),Minuman Kemasan,200,mL,15,105,cellmage_312819832_202.jpg,cellmage_312819832_203.jpg
103,DayDay Sarang Burung,Minuman Kemasan,250,mL,22,20,cellmage_312819832_204.jpg,cellmage_312819832_205.jpg
104,Perendjak Lemon Tea,Minuman Seduh,23,Gram,21,0,cellmage_312819832_206.jpg,cellmage_312819832_207.jpg
105,SilverQueen Chunky Minis,Snack Manis,20,Gram,6,20,cellmage_312819832_208.jpg,cellmage_312819832_209.jpg
106,SilverQueen Bites,Snack Manis,30,Gram,11,20,cellmage_312819832_210.jpg,cellmage_312819832_211.jpg
107,Permen Mintz,Snack Manis,2.2,Gram,1,0,cellmage_312819832_212.jpg,cellmage_312819832_213.jpg
108,GreenFields Blueberry Yogurt,Minuman Kemasan,240,mL,25,95,cellmage_312819832_214.jpg,cellmage_312819832_215.jpg
109,GreenFields Yogurt Mango,Snack Manis,120,Gram,17,30,cellmage_312819832_216.jpg,cellmage_312819832_217.jpg
110,Cimory Greek Yogurt Original,Snack Manis,100,mL,14,55,cellmage_312819832_218.jpg,cellmage_312819832_219.jpg
111,Cimory Greek Yogurt No Sugar,Snack Manis,100,mL,4,75,cellmage_312819832_220.jpg,cellmage_312819832_221.jpg
112,Biokul Greek Yogurt,Snack Manis,100,mL,8,75,cellmage_312819832_222.jpg,cellmage_312819832_223.jpg
113,Promina Bubur Tim Rasa Ayam Kampung Kacang Polong,Snack Asin,25,Gram,2,95,cellmage_312819832_224.jpg,cellmage_312819832_225.jpg
114,Promina Yogurt Melts Strawberry,Snack Manis,8,Gram,5,10,cellmage_312819832_226.jpg,cellmage_312819832_227.jpg
115,Milna Nature Delight Fruit Puree Apple and Peach,Snack Manis,80,Gram,13,0,cellmage_312819832_228.jpg,cellmage_312819832_229.jpg
116,Promina Marie Susu,Snack Manis,24,Gram,4,25,cellmage_312819832_230.jpg,cellmage_312819832_231.jpg
117,Ice Cream Campina Chocolate Vanilla Choco Chunk,Snack Manis,100,mL,12,25,cellmage_312819832_232.jpg,cellmage_312819832_233.jpg
118,Chiki Komo Jagung Bakar,Snack Asin,10,Gram,1,35,cellmage_312819832_234.jpg,cellmage_312819832_235.jpg
119,Chitato Lite,Snack Asin,20,Gram,1,55,cellmage_312819832_236.jpg,cellmage_312819832_237.jpg
120,Chitato Sapi Panggang,Snack Asin,20,Gram,0,115,cellmage_312819832_238.jpg,cellmage_312819832_239.jpg
121,JETZ Stick Choco Fiesta,Snack Manis,20,Gram,6,90,cellmage_312819832_240.jpg,cellmage_312819832_241.jpg
122,Chiki Twist Jagung Bakar,Snack Asin,10,Gram,1,60,cellmage_312819832_242.jpg,cellmage_312819832_243.jpg
123,Mister Kentang Goreng Friench Fries,Snack Asin,10,Gram,2,115,cellmage_312819832_244.jpg,cellmage_312819832_245.jpg
124,Ale-Ale Strawberry,Minuman Kemasan,180,mL,13,35,cellmage_312819832_246.jpg,cellmage_312819832_247.jpg
125,Mountea Blackcurrant,Minuman Kemasan,160,mL,7,25,cellmage_312819832_248.jpg,cellmage_312819832_249.jpg
126,Cimory Fresh Milk Full Cream,Minuman Kemasan,125,mL,5,65,cellmage_312819832_250.jpg,cellmage_312819832_251.jpg
127,Cimory Yoghurt Strawberry,Minuman Kemasan,200,mL,25,120,cellmage_312819832_252.jpg,cellmage_312819832_253.jpg
128,Panther Cup Mix Fruit,Minuman Kemasan,170,mL,7,110,cellmage_312819832_254.jpg,cellmage_312819832_255.jpg
129,Olala Milky Jelly,Minuman Kemasan,220,mL,14,60,cellmage_312819832_256.jpg,cellmage_312819832_257.jpg
130,Kopi Cappucino Granita,Minuman Kemasan,175,mL,22,15,cellmage_312819832_258.jpg,cellmage_312819832_259.jpg
131,Yakult Original,Minuman Kemasan,65,mL,10,10,cellmage_312819832_260.jpg,cellmage_312819832_261.jpg
132,Milo (kotak),Minuman Kemasan,110,mL,9,65,cellmage_312819832_262.jpg,cellmage_312819832_263.jpg
133,Susu Indomilk Vanilla (kotak),Minuman Kemasan,115,mL,10,45,cellmage_312819832_264.jpg,cellmage_312819832_265.jpg
134,Good Day Mocacino (botol),Minuman Kemasan,250,mL,21,75,cellmage_312819832_266.jpg,cellmage_312819832_267.jpg
135,Nextar Pineapple,Snack Manis,27,Gram,7,95,cellmage_312819832_268.jpg,cellmage_312819832_269.jpg
136,Garuda Pilus Rasa Mie Goreng,Snack Asin,14,Gram,2,160,cellmage_312819832_270.jpg,cellmage_312819832_271.jpg
137,Roma Malkist Kelapa Kopyor,Snack Manis,21,Gram,4,85,cellmage_312819832_272.jpg,cellmage_312819832_273.jpg
138,Roma Malkist Cokelat,Snack Manis,18,Gram,4,85,cellmage_312819832_274.jpg,cellmage_312819832_275.jpg
139,Biskuit Lemonia,Snack Manis,20,Gram,4,50,cellmage_312819832_276.jpg,cellmage_312819832_277.jpg
140,Chocolatos Waver Rasa Vanilla,Snack Manis,12,Gram,3,20,cellmage_312819832_278.jpg,cellmage_312819832_279.jpg
141,Chocolatos Waver Rasa Keju,Snack Manis,14,Gram,5,65,cellmage_312819832_280.jpg,cellmage_312819832_281.jpg
142,Chocolatos Wafer Rasa Dark Chocolate,Snack Manis,13,Gram,4,35,cellmage_312819832_282.jpg,cellmage_312819832_283.jpg
143,Ice Cream Joyday Choco Berry,Snack Manis,40,mL,7,10,cellmage_312819832_284.jpg,cellmage_312819832_285.jpg
144,Ice Cream Joyday Double Scoop Chocolate Vanilla,Snack Manis,100,mL,9,15,cellmage_312819832_286.jpg,cellmage_312819832_287.jpg
145,Ice Cream Joyday Fruitti Duo,Snack Manis,42,mL,6,15,cellmage_312819832_288.jpg,cellmage_312819832_289.jpg
146,Indomie Goreng Jumbo Rasa Ayam Panggang,Mie Instan,120,Gram,8,1100,cellmage_312819832_290.jpg,cellmage_312819832_291.jpg
147,Indomie Soto,Mie Instan,70,Gram,2,1120,cellmage_312819832_292.jpg,cellmage_312819832_293.jpg
148,Indomie Goreng Ayam Geprek,Mie Instan,85,Gram,4,960,cellmage_312819832_294.jpg,cellmage_312819832_295.jpg
149,Indomie Goreng Rendang,Mie Instan,91,Gram,6,830,cellmage_312819832_296.jpg,cellmage_312819832_297.jpg
150,Pang Pang Korea,Snack Asin,12,Gram,1,65,cellmage_312819832_298.jpg,cellmage_312819832_299.jpg
151,Chiki Astaga,Snack Asin,12,Gram,1,90,cellmage_312819832_300.jpg,cellmage_312819832_301.jpg
152,Kopi ABC Susu,Minuman Seduh,30,Gram,18,45,cellmage_312819832_302.jpg,cellmage_312819832_303.jpg
153,Pringles Original,Snack Asin,25,Gram,0,125,cellmage_312819832_304.jpg,cellmage_312819832_305.jpg
154,Pringles Texas BBQ,Snack Asin,25,Gram,1,100,cellmage_312819832_306.jpg,cellmage_312819832_307.jpg
155,Pota Bee Ayam Bakar,Snack Asin,30,Gram,1,250,cellmage_312819832_308.jpg,cellmage_312819832_309.jpg
156,Pota Bee Rumput Laut Panggang,Snack Asin,30,Gram,1,150,cellmage_312819832_310.jpg,cellmage_312819832_311.jpg
157,Kinder Creamy,Snack Manis,19,Gram,9,20,cellmage_312819832_312.jpg,cellmage_312819832_313.jpg
158,Smax Balls Cokelat,Snack Manis,20,Gram,3,35,cellmage_312819832_314.jpg,cellmage_312819832_315.jpg
159,Deka Wafer  Roll Choco,Snack Manis,30,Gram,13,40,cellmage_312819832_316.jpg,cellmage_312819832_317.jpg
160,Deka Wafer  Roll Choco Banana,Snack Manis,30,Gram,11,30,cellmage_312819832_318.jpg,cellmage_312819832_319.jpg
161,Beng-Beng Share it,Snack Manis,9.5,Gram,3,20,cellmage_312819832_320.jpg,cellmage_312819832_321.jpg
162,Chuba Keripik Singkong Balado,Snack Asin,20,Gram,1,125,cellmage_312819832_322.jpg,cellmage_312819832_323.jpg
163,Yupi Gummy Pizza,Snack Manis,23,Gram,8,0,cellmage_312819832_324.jpg,cellmage_312819832_325.jpg
164,Yupi Bolicious Sweet Lychee,Snack Manis,15,Gram,8,5,cellmage_312819832_326.jpg,cellmage_312819832_327.jpg
165,Happy Tos Tortilla Corn Chips ,Snack Asin,25,Gram,1,125,cellmage_312819832_328.jpg,cellmage_312819832_329.jpg
166,Mie Sedaap White Curry,Mie Instan,81,Gram,3,840,cellmage_312819832_330.jpg,cellmage_312819832_331.jpg
167,Mayasi Crispy Crepes Chocolate,Snack Manis,15,Gram,6,40,cellmage_312819832_332.jpg,cellmage_312819832_333.jpg
168,Momogi long Stick Rumput Laut,Snack Asin,10,Gram,2,50,cellmage_312819832_334.jpg,cellmage_312819832_335.jpg
169,Ichitan Thai Milk Tea,Minuman Kemasan,250,mL,17,130,cellmage_312819832_336.jpg,cellmage_312819832_337.jpg
170,Ichi Ocha Teh hijau,Minuman Kemasan,330,mL,24,35,cellmage_312819832_338.jpg,cellmage_312819832_339.jpg
171,Adem Sari Herbal Lemon Sparkling,Minuman Kemasan,250,mL,23,95,cellmage_312819832_340.jpg,cellmage_312819832_341.jpg
172,Adem Sari Madu Lemon Tea,Minuman Kemasan,175,mL,15,35,cellmage_312819832_342.jpg,cellmage_312819832_343.jpg
173,Floridina Orange Pulp & Coco Bitz,Minuman Kemasan,175,mL,19,25,cellmage_312819832_344.jpg,cellmage_312819832_345.jpg
174,TeaJus Madu,Minuman Seduh,7,Gram,7,5,cellmage_312819832_346.jpg,cellmage_312819832_347.jpg
175,Garuda Kacang Kulit,Snack Asin,25,Gram,0,250,cellmage_312819832_348.jpg,cellmage_312819832_349.jpg
176,Garuda Skippy Peanut Butter Mini Ball,Snack Manis,10,Gram,3,25,cellmage_312819832_350.jpg,cellmage_312819832_351.jpg
177,Garuda Crunchy Corn Tornado Sea Salt,Snack Asin,15,Gram,1,80,cellmage_312819832_352.jpg,cellmage_312819832_353.jpg
178,Nissin Gekikara Ramen Carbonara,Mie Instan,81,Gram,5,1170,cellmage_312819832_354.jpg,cellmage_312819832_355.jpg
179,Nissin Gekikara Ramen Ayam Pedas,Mie Instan,80,Gram,5,1030,cellmage_312819832_356.jpg,cellmage_312819832_357.jpg
180,Nissin Butter Coconut Biscuits,Snack Manis,20,Gram,4,55,cellmage_312819832_358.jpg,cellmage_312819832_359.jpg
181,Nissin Assorted Biscuit,Snack Manis,25,Gram,7,60,cellmage_312819832_360.jpg,cellmage_312819832_361.jpg
182,Granola Oat Crunch,Snack Manis,50,Gram,12,180,cellmage_312819832_362.jpg,cellmage_312819832_363.jpg
183,Anget Sari Wedang Jahe,Minuman Seduh,20,Gram,22,45,cellmage_312819832_364.jpg,cellmage_312819832_365.jpg
184,Croissant Creamy Chocolate,Snack Manis,30,Gram,4,65,cellmage_312819832_366.jpg,cellmage_312819832_367.jpg
185,Jasjus Jeruk,Minuman Seduh,6,Gram,5,15,cellmage_312819832_368.jpg,cellmage_312819832_369.jpg
186,Marjan Strowberry,Minuman Seduh,30,mL,21,10,cellmage_312819832_370.jpg,cellmage_312819832_371.jpg
187,Marjan Coco Pandan,Minuman Seduh,30,mL,21,5,cellmage_312819832_372.jpg,cellmage_312819832_373.jpg
188,Yougurt Drink Realgood ,Minuman Kemasan,125,mL,16,55,cellmage_312819832_374.jpg,cellmage_312819832_375.jpg
189,Buavita Apel ,Minuman Kemasan,245,mL,21,40,cellmage_312819832_376.jpg,cellmage_312819832_377.jpg
190,Buavita Mangga,Minuman Kemasan,245,mL,20,85,cellmage_312819832_378.jpg,cellmage_312819832_379.jpg
191,I'm coco Inaco leci,Minuman Kemasan,250,Gram,21,35,cellmage_312819832_380.jpg,cellmage_312819832_381.jpg
192,Popmie Kari Ayam,Mie Instan,75,Gram,4,1450,cellmage_312819832_382.jpg,cellmage_312819832_383.jpg
193,Popmie Baso Granat ,Mie Instan,77,Gram,3,1460,cellmage_312819832_384.jpg,cellmage_312819832_385.jpg
194,Bonbon Chocholate Cream Biskuit ,Snack Manis,25,Gram,5,60,cellmage_312819832_386.jpg,cellmage_312819832_387.jpg
195,Oat Choco ,Snack Manis,30,Gram,6,60,cellmage_312819832_388.jpg,cellmage_312819832_389.jpg
196,Kris Bee Pillow Strawberry,Snack Manis,12,Gram,2,20,cellmage_312819832_390.jpg,cellmage_312819832_391.jpg
197,Roma Sandwich Peanut Butter,Snack Manis,29,Gram,6,75,cellmage_312819832_392.jpg,cellmage_312819832_393.jpg
198,Lexus Lychee Cream,Snack Manis,19,Gram,6,65,cellmage_312819832_394.jpg,cellmage_312819832_395.jpg
199,Monde Bourbon Choco,Snack Manis,12,Gram,3,15,cellmage_312819832_396.jpg,cellmage_312819832_397.jpg
200,Selai Olai Blueberry,Snack Manis,24,Gram,7,85,cellmage_312819832_398.jpg,cellmage_312819832_399.jpg
201,Smax Ring,Snack Asin,12,Gram,1,85,cellmage_312819832_400.jpg,cellmage_312819832_401.jpg
202,Milo Sereal,Snack Manis,20,Gram,5,30,cellmage_312819832_402.jpg,cellmage_312819832_403.jpg
203,Honey Stars Sereal,Snack Manis,20,Gram,5,25,cellmage_312819832_404.jpg,cellmage_312819832_405.jpg
204,Kopi Kopiko ,Minuman Kemasan,240,mL,20,120,cellmage_312819832_406.jpg,cellmage_312819832_407.jpg
205,Vegan Vitasoy Stroberi,Minuman Kemasan,250,mL,13,125,cellmage_312819832_408.jpg,cellmage_312819832_409.jpg
206,Popmie Ayam Bawang,Mie Instan,40,Gram,2,1270,cellmage_312819832_410.jpg,cellmage_312819832_411.jpg
207,Mie Sukses isi 2 Ayam Bawang,Mie Instan,115,Gram,4,1220,cellmage_312819832_412.jpg,cellmage_312819832_413.jpg
208,Naraya Narabis,Snack Manis,15,Gram,1,45,cellmage_312819832_414.jpg,cellmage_312819832_415.jpg
209,Granola Dark Chocolate,Snack Manis,25,Gram,5,20,cellmage_312819832_416.jpg,cellmage_312819832_417.jpg
210,Julies Lemond,Snack Manis,18,Gram,4,55,cellmage_312819832_418.jpg,cellmage_312819832_419.jpg
211,Fruit Sandwich Blueberry,Snack Manis,100,Gram,19,0,cellmage_312819832_420.jpg,cellmage_312819832_421.jpg
212,Biskuit Sultana,Snack Manis,120,kkal,9,130,cellmage_312819832_422.jpg,cellmage_312819832_423.jpg
213,Gery Wafer Roll Bantal,Snack Manis,20,Gram,7,70,cellmage_312819832_424.jpg,cellmage_312819832_425.jpg
214,Yupi Strawberry Kiss,Snack Manis,15,Gram,9,0,Yupi Strawberry Kiss.jpg,
215,Yupi Bolicious Sweet Lychee,Snack Manis ,15,Gram,8,5,cellmage_312819832_326.jpg,cellmage_312819832_327.jpg
216,Yamazaki Myroti Gandum,Snack Manis,79,Gram,4,250,Yamazaki Myroti Gandum.jpg,
217,Ultra Mimi Kids Full Cream,Minuman Kemasan,125,mL,6,60,Ultra Mimi Kids Full Creamjpg,
